#labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,CostEst
1.77778E-06,1.77778,5,192.85,98.9834,0.0465837,2.10218,0.001,-1
1,1,5,164.5,88.9362,0.0115229,3.5029,0.025,0
1,1,5,164.5,88.9362,0.0115229,3.5029,0,0
1,1,5,164.5,88.9362,0.0115229,3.5029,0.1,1
1,1,5,164.5,88.9362,0.0115229,3.5029,0.001,0
1,1,5,164.5,88.9362,0.0115229,3.5029,0.05,1
1,1,5,164.5,88.9362,0.0115229,3.5029,0.01,0
1,1,5,164.5,88.9362,0.0115229,3.5029,0.005,0
1,1,5,164.5,88.9362,0.0115229,3.5029,0.075,1
1,1,5,310.5,162.08,0.00535853,3.60384,0.01,0
1,1,5,310.5,162.08,0.00535853,3.60384,0,0
1,1,5,310.5,162.08,0.00535853,3.60384,0.1,1
1,1,5,310.5,162.08,0.00535853,3.60384,0.005,0
1,1,5,310.5,162.08,0.00535853,3.60384,0.025,0
1,1,5,310.5,162.08,0.00535853,3.60384,0.075,1
1,1,5,310.5,162.08,0.00535853,3.60384,0.001,0
1,1,5,310.5,162.08,0.00535853,3.60384,0.05,1
0.0176406,1.76406,5,192.85,99.4966,0.0281579,2.81287,0.075,-1
0.0176406,1.76406,5,192.85,99.4966,0.0281579,2.81287,0.01,-1
0.0176406,1.76406,5,192.85,99.4966,0.0281579,2.81287,0.025,-1
0.0176406,1.76406,5,192.85,99.4966,0.0281579,2.81287,0.1,-1
0.0176406,1.76406,5,192.85,99.4966,0.0281579,2.81287,0.005,-1
0.0176406,1.76406,5,192.85,99.4966,0.0281579,2.81287,0.001,-1
0.0176406,1.76406,5,192.85,99.4966,0.0281579,2.81287,0.05,-1
0.0176406,1.76406,5,192.85,99.4966,0.0281579,2.81287,0,-1
0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.1,1
0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.001,0
0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.025,1
0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.005,0
0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.01,0
0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.05,1
0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.075,1
0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0,0
0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.01,-1
0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0,-1
0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.075,-1
0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.1,-1
0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.025,-1
0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.005,-1
0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.05,-1
0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.001,-1
0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.075,-1
0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.005,-1
0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0,-1
0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.1,-1
0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.001,-1
0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.05,-1
0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.01,-1
0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.025,-1
0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.05,-1
0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.001,-1
0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.01,-1
0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.025,-1
0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.1,-1
0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.075,-1
0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.005,-1
0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0,-1
0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.075,1
0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.01,0
0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.05,0
0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.025,1
0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.001,0
0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.1,1
0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.005,0
0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0,0
0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.005,0
0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.01,0
0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.025,0
