#labels Stretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
1.00,14.87,1e4,0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.1,15,1.46,1.52,12.88,1
1.00,14.87,1e4,0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.025,15,1.39,1.44,12.79,1
1.00,14.87,1e4,0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.05,17,1.36,1.41,15.6,1
1.00,14.87,1e4,0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.075,15,1.41,1.46,13.23,1
2.21,4.89,1e2,0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.075,-1,-1,-1,-1,-1
2.21,4.89,1e2,0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.1,-1,-1,-1,-1,-1
2.21,4.89,1e2,0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.025,21,1.37,1.42,7.463,-1
2.21,4.89,1e2,0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.05,17,1.41,1.46,7.265,-1
6.72,62.10,1e-4,0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.075,21,1.43,1.48,11,-1
6.72,62.10,1e-4,0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.1,-1,-1,-1,-1,-1
6.72,62.10,1e-4,0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.05,25,1.41,1.46,13.22,-1
6.72,62.10,1e-4,0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.025,25,1.41,1.46,13.12,-1
1.61,6.72,1e-4,0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.05,18,1.39,1.45,8.745,-1
1.61,6.72,1e-4,0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.025,18,1.37,1.42,8.762,-1
1.61,6.72,1e-4,0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.1,-1,-1,-1,-1,-1
1.61,6.72,1e-4,0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.075,16,1.45,1.5,9.35,-1
85.32,100.00,1e-2,0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.075,21,1.43,1.48,16.13,1
85.32,100.00,1e-2,0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.05,22,1.42,1.47,19.2,0
85.32,100.00,1e-2,0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.025,20,1.43,1.48,15.23,1
85.32,100.00,1e-2,0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.1,17,1.44,1.5,16.04,1
3.04,72.79,1e2,0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.025,23,1.39,1.44,11.85,0
3.04,72.79,1e2,0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.1,15,1.44,1.5,8.189,1
3.04,72.79,1e2,0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.075,20,1.42,1.48,8.163,0
3.04,72.79,1e2,0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.05,20,1.4,1.45,10.81,0
3.56,38.57,1e0,1,1,5,192.85,99.8888,0.0221681,3.04389,0.075,18,1.43,1.48,8.519,-1
3.56,38.57,1e0,1,1,5,192.85,99.8888,0.0221681,3.04389,0.025,27,1.39,1.44,13.11,-1
3.56,38.57,1e0,1,1,5,192.85,99.8888,0.0221681,3.04389,0.05,23,1.4,1.46,10.9,-1
3.56,38.57,1e0,1,1,5,192.85,99.8888,0.0221681,3.04389,0.1,-1,-1,-1,-1,-1
4.18,45.20,1e-6,2.28571e-06,2.28571,5,226,116.706,0.0167143,3.15793,0.1,16,1.45,1.5,5.464,1
4.18,45.20,1e-6,2.28571e-06,2.28571,5,226,116.706,0.0167143,3.15793,0.075,17,1.43,1.48,6.257,1
4.18,45.20,1e-6,2.28571e-06,2.28571,5,226,116.706,0.0167143,3.15793,0.05,22,1.4,1.46,7.629,0
4.18,45.20,1e-6,2.28571e-06,2.28571,5,226,116.706,0.0167143,3.15793,0.025,24,1.4,1.45,8.507,0
1.37,10.83,1e-6,2.28571e-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.025,18,1.37,1.42,20.06,-1
1.37,10.83,1e-6,2.28571e-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.075,15,1.44,1.49,14.82,-1
1.37,10.83,1e-6,2.28571e-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.1,-1,-1,-1,-1,-1
1.37,10.83,1e-6,2.28571e-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.05,19,1.37,1.42,11.11,-1
