2.59,72.79,1e0,1,1,5,363.95,185.027,0.0150997,2.84669,0.025,29,1.38,1.43,12.25,-1,0
1.17,20.43,1e4,0.000177764,1.77764,5,102.15,53.6334,0.0860158,2.05604,0.025,15,1.39,1.44,12.38,-1,1
14.87,20.43,1e-2,0.022567,2.2567,5,102.15,65.0118,0.0117615,3.57306,0.025,24,1.42,1.47,26.62,0,-1
1.61,52.98,1e2,0.0176406,1.76406,5,264.9,135.16,0.0283914,2.42172,0.025,20,1.37,1.42,8.01,-1,0
7.88,23.95,1e2,0.0176406,1.76406,5,119.75,66.0684,0.0180541,3.40728,0.025,23,1.41,1.46,11.61,0,-1
3.56,52.98,1e-6,2.28571e-06,2.28571,5,264.9,135.881,0.0162503,3.06496,0.025,24,1.39,1.44,11.72,-1,0
28.07,100.00,1e-4,0.000228542,2.28542,5,500,266.536,0.00136237,3.82416,0.025,26,1.42,1.48,13.31,0,1
4.18,62.10,1e-6,2.28571e-06,2.28571,5,310.5,158.913,0.0122377,3.17665,0.025,24,1.4,1.45,10.84,0,-1
10.83,32.90,1e6,1.77778e-06,1.77778,5,164.5,90.084,0.00997414,3.55386,0.025,23,1.41,1.47,18.02,0,-1
6.72,38.57,1e2,0.0176406,1.76406,5,192.85,101.41,0.0130941,3.39387,0.025,24,1.4,1.46,8.555,0,-1
9.24,17.43,1e-4,0.000228542,2.28542,5,87.15,51.6534,0.0211951,3.41353,0.025,26,1.41,1.46,19.86,1,-1
20.43,32.90,1e0,1,1,5,164.5,99.3564,0.00550602,3.70086,0.025,23,1.42,1.47,10.59,0,-1
1.89,62.10,1e-6,2.28571e-06,2.28571,5,310.5,158.056,0.0219348,2.57446,0.025,24,1.36,1.42,9.261,-1,0
1.61,52.98,1e4,0.000177764,1.77764,5,264.9,135.16,0.0283914,2.42172,0.025,19,1.37,1.42,7.205,-1,1
3.04,62.10,1e0,1,1,5,310.5,158.471,0.015691,2.9622,0.025,28,1.39,1.44,15.22,-1,0
14.87,28.07,1e4,0.000177764,1.77764,5,140.35,82.1695,0.00867038,3.61902,0.025,22,1.42,1.47,27.44,-1,0
1.17,45.20,1e-2,0.022567,2.2567,5,226,115.558,0.0398987,2.11,0.025,18,1.39,1.44,13.21,1,-1
1.00,1.61,1e0,1,1,5,8.05,6.525,0.766284,1.23372,0.025,14,1.38,1.43,4.662,1,-1
3.56,62.10,1e0,1,1,5,310.5,158.67,0.0139016,3.07332,0.025,27,1.39,1.44,12,0,-1
1.00,1.37,1e0,1,1,5,6.85,5.925,0.843882,1.15612,0.025,14,1.38,1.43,4.724,1,-1
17.43,20.43,1e-2,0.022567,2.2567,5,102.15,68.6276,0.0101277,3.60644,0.025,25,1.42,1.47,17.15,0,-1
2.59,52.98,1e-6,2.28571e-06,2.28571,5,264.9,135.51,0.0206411,2.83233,0.025,25,1.38,1.43,10.38,-1,0
6.72,23.95,1e-6,2.28571e-06,2.28571,5,119.75,65.2449,0.0207669,3.34231,0.025,26,1.4,1.46,10.06,0,-1
45.20,72.79,1e6,1.77778e-06,1.77778,5,363.95,217.906,0.00117333,3.86039,0.025,21,1.42,1.48,8.65,1,0
4.18,52.98,1e-4,0.000228542,2.28542,5,264.9,136.133,0.0143053,3.168,0.025,24,1.4,1.45,8.643,-1,1
10.83,20.43,1e-6,2.28571e-06,2.28571,5,102.15,60.2599,0.015778,3.491,0.025,24,1.41,1.47,16.83,1,-1
