#LabelsStretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
5.74,72.79,1e-4,0.000228542,2.28542,5,363.95,186.253,0.00804271,3.36036,0.1,20,1.44,1.5,7,1
2.21,7.88,1e-2,0.022567,2.2567,5,39.4,22.7456,0.140327,2.44377,0.1,-1,-1,-1,-1,0
3.04,6.72,1e6,1.77778e-06,1.77778,5,33.6,20.4756,0.128251,2.62002,0.1,-1,-1,-1,-1,0
14.87,17.43,1e-2,0.022567,2.2567,5,87.15,58.7687,0.013676,3.54459,0.1,-1,-1,-1,-1,0
1.37,28.07,1e2,0.0176406,1.76406,5,140.35,72.8022,0.0580586,2.2327,0.1,-1,-1,-1,-1,0
9.24,52.98,1e0,1,1,5,264.9,138.566,0.00723648,3.54251,0.1,18,1.44,1.5,11.32,1
1.61,72.79,1e2,0.0176406,1.76406,5,363.95,184.685,0.0207693,2.43399,0.1,15,1.45,1.5,5.628,1
32.90,38.57,1e6,1.77778e-06,1.77778,5,192.85,128.228,0.00298191,3.7839,0.1,16,1.44,1.5,9.877,1
1.17,38.57,1e6,1.77778e-06,1.77778,5,192.85,98.9834,0.0465837,2.10218,0.1,-1,-1,-1,-1,0
9.24,32.90,1e0,1,1,5,164.5,88.9362,0.0115229,3.5029,0.1,18,1.44,1.5,16.78,1
10.83,62.10,1e0,1,1,5,310.5,162.08,0.00535853,3.60384,0.1,18,1.44,1.5,20.75,1
2.59,38.57,1e2,0.0176406,1.76406,5,192.85,99.4966,0.0281579,2.81287,0.1,-1,-1,-1,-1,0
1.00,14.87,1e4,0.000177764,1.77764,5,74.35,39.675,0.126024,1.87398,0.1,15,1.46,1.52,12.88,1
2.21,4.89,1e2,0.0176406,1.76406,5,24.45,15.384,0.211563,2.28634,0.1,-1,-1,-1,-1,0
6.72,62.10,1e-4,0.000228542,2.28542,5,310.5,160.004,0.00821133,3.42669,0.1,-1,-1,-1,-1,0
1.61,6.72,1e-4,0.000228542,2.28542,5,33.6,19.5458,0.198519,2.14782,0.1,-1,-1,-1,-1,0
85.32,100.00,1e-2,0.022567,2.2567,5,500,330.11,0.000458804,3.91452,0.1,17,1.44,1.5,16.04,1
3.04,72.79,1e2,0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.1,15,1.44,1.5,8.189,1
3.56,38.57,1e0,1,1,5,192.85,99.8888,0.0221681,3.04389,0.1,-1,-1,-1,-1,0
4.18,45.20,1e-6,2.28571e-06,2.28571,5,226,116.706,0.0167143,3.15793,0.1,16,1.45,1.5,5.464,1
1.37,10.83,1e-6,2.28571e-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.1,-1,-1,-1,-1,0
1.89,12.69,1e0,1,1,5,63.45,34.5651,0.101102,2.42483,0.1,-1,-1,-1,-1,0
12.69,20.43,1e4,0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.1,-1,-1,-1,-1,0
23.95,32.90,1e4,0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.1,-1,-1,-1,-1,0
23.95,52.98,1e2,0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.1,16,1.44,1.5,7.207,1
5.74,7.88,1e-6,2.28571e-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.1,-1,-1,-1,-1,0
17.43,28.07,1e6,1.77778e-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.1,16,1.44,1.5,16.14,1
14.87,38.57,1e4,0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.1,16,1.44,1.5,11.53,1
4.89,7.88,1e-2,0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.1,-1,-1,-1,-1,0
2.21,20.43,1e-6,2.28571e-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.1,-1,-1,-1,-1,0
