#labels Stretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
1.61,12.69,1e0,1,1,1,12.69,6.88962,0.111948,2.2872,0.005,34,1.08,1.12,18.24,0
1.61,12.69,1e0,1,1,1,12.69,6.88962,0.111948,2.2872,0.001,68,1.04,1.07,51.36,0
5.74,23.95,1e0,1,1,1,23.95,12.9225,0.0237864,3.26999,0.01,47,1.11,1.15,24.91,1
5.74,23.95,1e0,1,1,1,23.95,12.9225,0.0237864,3.26999,0.075,-1,-1,-1,-1,-1
5.74,23.95,1e0,1,1,1,23.95,12.9225,0.0237864,3.26999,0.001,89,1.06,1.1,71.12,0
5.74,23.95,1e0,1,1,1,23.95,12.9225,0.0237864,3.26999,0.025,36,1.21,1.25,18.59,1
5.74,23.95,1e0,1,1,1,23.95,12.9225,0.0237864,3.26999,0.05,-1,-1,-1,-1,-1
5.74,23.95,1e0,1,1,1,23.95,12.9225,0.0237864,3.26999,0.1,-1,-1,-1,-1,-1
5.74,23.95,1e0,1,1,1,23.95,12.9225,0.0237864,3.26999,0.005,48,1.09,1.13,26.53,0
5.74,23.95,1e0,1,1,1,23.95,12.9225,0.0237864,3.26999,0,108,1.03,1.07,82.91,0
1.17,12.69,1e0,1,1,1,12.69,6.85669,0.134647,1.99914,0.075,-1,-1,-1,-1,-1
1.17,12.69,1e0,1,1,1,12.69,6.85669,0.134647,1.99914,0.005,36,1.08,1.12,33.47,1
1.17,12.69,1e0,1,1,1,12.69,6.85669,0.134647,1.99914,0.05,-1,-1,-1,-1,-1
1.17,12.69,1e0,1,1,1,12.69,6.85669,0.134647,1.99914,0.1,-1,-1,-1,-1,-1
1.17,12.69,1e0,1,1,1,12.69,6.85669,0.134647,1.99914,0.001,63,1.04,1.07,49.07,0
1.17,12.69,1e0,1,1,1,12.69,6.85669,0.134647,1.99914,0.025,35,1.11,1.15,29.71,1
