%labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst,Pred,Pr -1,Pr 0,Pr 1
1,1,1,12.69,6.88962,0.111948,2.2872,0.1,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,12.69,6.88962,0.111948,2.2872,0,68,1.03,1.07,46.44,0,0,0,0.952801,0.047199
1,1,1,12.69,6.88962,0.111948,2.2872,0.005,34,1.08,1.12,18.24,0,0,0,0.853085,0.146915
1,1,1,12.69,6.88962,0.111948,2.2872,0.001,68,1.04,1.07,51.36,0,0,0,0.911009,0.0889905
1,1,1,23.95,12.9225,0.0237864,3.26999,0.01,47,1.11,1.15,24.91,1,1,0,0.401591,0.598409
1,1,1,23.95,12.9225,0.0237864,3.26999,0.075,-1,-1,-1,-1,-1,-1,0.90034,0,0.0996596
1,1,1,23.95,12.9225,0.0237864,3.26999,0.001,89,1.06,1.1,71.12,0,0,0,1,0
1,1,1,23.95,12.9225,0.0237864,3.26999,0.025,36,1.21,1.25,18.59,1,1,0,0.103214,0.896786
1,1,1,23.95,12.9225,0.0237864,3.26999,0.05,-1,-1,-1,-1,-1,-1,0.949347,0,0.050653
1,1,1,23.95,12.9225,0.0237864,3.26999,0.1,-1,-1,-1,-1,-1,-1,0.886222,0,0.113778
1,1,1,23.95,12.9225,0.0237864,3.26999,0.005,48,1.09,1.13,26.53,0,1,0,0.373359,0.626641
1,1,1,23.95,12.9225,0.0237864,3.26999,0,108,1.03,1.07,82.91,0,0,0,0.95527,0.0447298
1,1,1,12.69,6.85669,0.134647,1.99914,0.075,-1,-1,-1,-1,-1,-1,0.976642,0,0.0233578
1,1,1,12.69,6.85669,0.134647,1.99914,0.005,36,1.08,1.12,33.47,1,0,0,0.542224,0.457776
1,1,1,12.69,6.85669,0.134647,1.99914,0.05,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,12.69,6.85669,0.134647,1.99914,0.1,-1,-1,-1,-1,-1,-1,0.900536,0,0.0994639
1,1,1,12.69,6.85669,0.134647,1.99914,0.001,63,1.04,1.07,49.07,0,0,0,0.902715,0.0972853
1,1,1,12.69,6.85669,0.134647,1.99914,0.025,35,1.11,1.15,29.71,1,1,0.0270075,0.119182,0.853811
1,1,1,12.69,6.85669,0.134647,1.99914,0.01,36,1.09,1.14,31.59,1,1,0,0.195451,0.804549
1,1,1,12.69,6.85669,0.134647,1.99914,0,64,1.03,1.07,57.59,0,0,0,0.855208,0.144792
1,1,1,10.83,7.41644,0.0330199,3.30427,0.025,29,1.23,1.28,17.42,1,1,0,0.118238,0.881762
1,1,1,10.83,7.41644,0.0330199,3.30427,0.001,63,1.04,1.07,46.55,0,0,0,0.857139,0.142861
1,1,1,10.83,7.41644,0.0330199,3.30427,0,68,1.03,1.07,45.27,0,0,0,0.917054,0.0829464
1,1,1,10.83,7.41644,0.0330199,3.30427,0.05,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,10.83,7.41644,0.0330199,3.30427,0.1,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,10.83,7.41644,0.0330199,3.30427,0.005,55,1.09,1.13,30.12,0,0,0,0.915705,0.0842951
1,1,1,10.83,7.41644,0.0330199,3.30427,0.075,-1,-1,-1,-1,-1,-1,0.955696,0,0.0443036
1,1,1,10.83,7.41644,0.0330199,3.30427,0.01,42,1.15,1.19,26.25,0,0,0,0.735183,0.264817
1,1,1,38.57,19.7967,0.0465837,2.10218,0,110,1.03,1.07,87.99,0,0,0,0.889066,0.110934
1,1,1,38.57,19.7967,0.0465837,2.10218,0.075,-1,-1,-1,-1,-1,-1,0.839394,0,0.160606
1,1,1,38.57,19.7967,0.0465837,2.10218,0.05,-1,-1,-1,-1,-1,-1,0.856608,0,0.143392
1,1,1,38.57,19.7967,0.0465837,2.10218,0.025,26,1.11,1.15,15.73,1,1,0,0,1
1,1,1,38.57,19.7967,0.0465837,2.10218,0.1,-1,-1,-1,-1,-1,-1,0.821147,0,0.178853
1,1,1,38.57,19.7967,0.0465837,2.10218,0.005,29,1.1,1.14,17.64,1,1,0,0.127693,0.872307
1,1,1,38.57,19.7967,0.0465837,2.10218,0.001,48,1.09,1.13,33.61,0,0,0,0.826344,0.173656
1,1,1,38.57,19.7967,0.0465837,2.10218,0.01,29,1.1,1.14,17.79,1,1,0,0.237853,0.762147
