%Stretch1, Stretch2, SigmaSigma_min_mean, Sigma_max_mean, ElEdge_min, ElEdge_max, ElEdge_mean, ElDetJ_min_mean, ElDetJ_max_mean, _DROP_TOL_, Iters, Op_Complex, Smoo_Complex, SolveTime, CostEst
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.075,-1,-1,-1,-1,-49.6800
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.005,33,1.04,1.07,18.16, 0.7273
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0,26,1.03,1.07,15, 0.9231
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.01,33,1.04,1.07,16.48, 0.7273
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.025,23,1.12,1.16,13.9, 1.0000
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.05,-1,-1,-1,-1,-49.6800
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.1,-1,-1,-1,-1,-49.6800
2.21,3.04,1e0,1,1,1,3.04,2.19924,0.308442,2.07224,0.001,33,1.04,1.07,19.24, 0.7273
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.001,49,1.04,1.07,44.13, 0.4472
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0,50,1.03,1.07,33.57, 0.4383
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.075,-1,-1,-1,-1,-45.3600
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.05,-1,-1,-1,-1,-45.3600
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.025,21,1.12,1.16,20.62, 1.0000
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.1,-1,-1,-1,-1,-45.3600
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.005,39,1.06,1.1,32.28, 0.5538
2.21,7.88,1e0,1,1,1,7.88,4.54911,0.140327,2.44377,0.01,26,1.08,1.12,18.91, 0.8229
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.1,-1,-1,-1,-1,-70.9500
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.075,-1,-1,-1,-1,-70.9500
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.001,67,1.09,1.13,45.93, 0.4972
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.05,-1,-1,-1,-1,-70.9500
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0,153,1.03,1.07,144.9, 0.2240
3.04,62.10,1e0,1,1,1,62.1,31.6942,0.015691,2.9622,0.025,37,1.12,1.16,20.93, 0.8878
